Video_id Is_ASR
nMS-SY0sKss Yes
VcTJAmuubDc No
BT_E5yEQuYg Yes
xfiWZcz0ZVw Yes
hGKRPm37Fhk Yes
NHHHK2vPxJg Yes
ObQMWQXHge8 Yes
nq2jQyID-Gg Yes
KDbYn0DSyCU Yes
pB6ULQIgmfg Yes
Z4iPmG2koZ0 Yes
Fs4JK0A5vWE Yes
r2WbLxzJ6Ps Yes
VRvZufETFPk Yes
EvTNhfOBYJM Yes
yYKTYscZoIo Yes
vOuv1QH3JW4 Yes
kRv00Fe9VMk Yes
wUAFCn90Y8Q Yes
zRubfZ1Jb9Q Yes
ifgyMC21oJM Yes
gOPPZ6KoL9I Yes
15QK-mL4hio Yes
x_SakJxqIZQ Yes
T-LUZhkktUw Yes
RR9ebsWWbSg Yes
9WpoQ5BBWBw Yes
HtPIBtQqbvM Yes
LFtWKquhCW8 Yes
cUAG76qsuso Yes
ztce3GTRp2M Yes
0ok1BnhAiNk No
OPYHwMZBYwQ No
jTvzrl2fycs No
A2_2cmpyQnU Yes
fE3WTehNryw Yes
URm7uCe60_s Yes
rq8HDFzx_B4 Yes
WP14GCdN7yQ Yes
tE7D2XOb1WI Yes
MsUTDaUgg0E Yes
66krT4WDIWE Yes
oxfgcdRmvAg Yes
WQlOqp7tLZY Yes
GZdXARbI-UY Yes
7sKwOfpZ1VM Yes
Mo5pMPGQaG4 Yes
NjjpowQi2Mg Yes
MipYNEyQwy8 Yes
iKPlRtGONlk Yes
s-8shbJCqmE Yes
96oyRlHH1pQ Yes
pmLcPDA51F8 Yes
puSkmcTNuOY Yes
WeZuKtBOrhY Yes
JT6nkKfrtjQ Yes
CoPngVyeB5M Yes
FWk8g4fhQHo Yes
GLTjz-iDj5I Yes
gvvaITyIc4Q Yes
6br_e1YGJBM Yes
UCRA3O-0QXg Yes
AWbVbxZHO1I Yes
ZUfwKDpzvS8 Yes
yhzAytdeXgQ Yes
wX1CNyKr2aw Yes
Zd0M4x-srFU Yes
_pPACO5yzCU Yes
Kl7yVuLiADI Yes
n6sDm4snenU Yes
c9LNzOsCoCs Yes
3TSX_prgvXU Yes
7U1LbQyB5MU Yes
Jw_Trm24mVc Yes
7WwLwd63uU8 Yes
_fYsz_YSwiE Yes
_DA6qzsbd0I Yes
drDJKGfvu6Y Yes
sJEiwQIgkgk Yes
Ecb8GH-k-PM Yes
RBQXdPIvebw Yes
s9fXMgwUOIw Yes
eT_jQpvqL14 Yes
DSaJoU_r17E Yes
_sfTHTvfMWY Yes
rmK260wUu9E Yes
N3IBrTeoeRc Yes
NaJVPWm-yIo Yes
T94jwsH1xPI Yes
uTsU5mAKREg Yes
Ti8jw7gkrD0 Yes
H1jjTTic_6k Yes
hxyevtxHli0 Yes
Sgc4oQoOq-Q Yes
hkUT2Y-d7XY No
iigxE_okDfQ Yes
jHxhnqy2dZk Yes
hU9Gv9IKprE Yes
_DH9veUFqU4 Yes
XU2_7HSI5uU Yes
rMB5ggyypE0 Yes
Gwc3TOTsdx0 Yes
